,downYear,upYear,downMonth,upMonth
23288,0,0,5,11
25718,9,9,110,117
14402,6,9,87,103
38973,7,27,175,241
39263,3,6,61,56
11746,4,5,58,67
26622,9,16,136,173
28580,5,15,100,149
25515,5,6,77,70
27983,22,35,324,364
22365,0,1,4,12
23579,13,35,245,340
28353,8,29,178,278
39917,17,39,310,374
26438,14,21,208,235
21338,4,4,62,56
25478,10,12,127,156
23915,15,25,241,261
39626,6,9,95,99
19166,16,32,265,327
40010,6,14,116,143
36468,12,44,299,381
40483,9,27,189,251
40758,1,2,19,29
40301,7,15,135,144
22103,11,44,296,376
27174,8,10,107,130
23800,5,5,70,73
38914,14,19,203,223
41080,22,33,310,362
25902,4,3,54,46
41515,3,1,34,28
40790,6,8,90,96
27000,4,6,63,70
27115,11,20,171,214
27297,6,11,97,120
41953,6,3,65,51
28177,3,4,50,45
28265,3,4,48,47
26729,11,20,180,202
27342,4,11,85,104
25873,7,11,103,124
42323,3,4,52,39
40635,7,22,160,190
34040,16,13,179,185
34550,2,1,26,21
29911,7,6,87,86
39992,8,7,95,99
26155,4,5,54,62
26075,11,22,191,219
27043,6,14,119,144
30330,6,23,156,196
20474,5,2,54,37
24985,13,25,202,263
25144,4,5,58,57
26788,7,9,100,102
27940,7,15,118,150
21928,4,5,54,61
22613,5,5,66,70
40061,14,25,217,272
21274,11,15,148,176
27051,6,25,162,222
25988,5,12,97,125
27852,3,2,32,37
27879,4,1,37,33
28505,8,11,107,130
40416,19,28,251,323
44062,8,24,169,233
31763,8,8,100,105
27086,8,14,128,153
40854,5,12,96,121
43609,4,7,71,67
17267,4,5,52,66
40723,8,9,103,108
42569,2,0,20,12
16280,2,3,39,35
19414,7,9,91,105
45081,8,6,83,92
11332,2,2,30,31
43094,0,0,6,6
23480,0,0,2,4
27596,10,18,160,197
44505,6,7,84,91
45620,7,2,61,58
26112,18,18,222,228
45604,0,8,43,80
28089,1,0,14,10
42606,12,11,142,149
17961,11,21,172,224
42796,12,30,220,292
41785,2,3,38,31
27924,8,14,131,151
24651,4,3,57,40
40432,2,0,15,16
20343,8,11,114,123
42075,5,1,50,39
45663,4,5,56,62
43633,0,0,4,5
43203,4,6,63,62
45225,2,1,27,22
28994,1,0,12,10
26649,10,10,112,140
29962,4,1,41,34
39271,7,8,93,102
39458,5,5,66,58
27238,5,1,52,35
46682,4,10,88,95
22939,0,0,3,4
33873,6,6,78,70
34024,4,10,76,102
16029,6,7,78,90
46252,5,7,69,83
33814,11,16,150,195
46578,9,42,255,369
39896,3,8,73,80
47386,0,2,19,23
14656,17,25,233,290
21207,22,29,296,324
26569,4,4,58,56
48725,13,38,258,359
