,downYear,upYear,downMonth,upMonth,consecUp,consecDown,PosAftPos,PosAftNeg,NegAftPos,NegAftNeg
15974,2,8,66,72,8,6,34,38,38,27
12669,8,9,111,112,10,8,58,53,54,57
18550,11,19,166,208,11,7,112,95,96,70
20677,9,20,161,205,9,9,116,89,88,72
21514,15,26,230,281,8,7,151,130,129,100
20298,1,5,38,48,6,5,27,20,20,18
11308,13,50,299,467,15,7,282,184,184,115
21346,10,10,137,122,8,9,57,64,65,72
16598,7,16,126,164,10,7,92,71,71,55
22621,0,1,11,17,7,4,11,5,5,6
23894,8,9,109,116,8,9,63,52,52,57
20095,8,10,115,122,6,6,62,60,60,54
18446,13,24,218,240,10,6,127,113,112,105
13637,9,9,101,124,6,7,70,52,52,49
20650,0,0,9,3,1,5,0,2,3,6
15448,2,7,47,75,7,5,43,31,31,16
19510,7,7,87,99,6,6,52,46,46,41
23819,21,42,348,418,12,8,242,176,175,172
18681,20,22,230,308,7,6,177,129,131,99
24002,7,11,109,123,5,5,64,58,58,51
21004,10,32,220,300,8,7,176,123,124,96
19174,6,7,77,96,14,5,56,39,39,38
10006,9,17,146,181,7,6,100,80,80,66
19764,4,6,72,82,7,5,44,36,37,35
16758,8,13,126,136,8,7,73,63,62,63
19553,9,32,212,290,9,5,160,130,129,82
13928,14,49,328,438,11,5,245,193,192,135
10401,15,32,257,327,18,5,176,150,150,107
24942,18,44,317,440,12,7,246,193,194,123
10751,10,15,142,169,7,5,84,85,84,57
23165,0,2,16,20,9,5,11,8,9,7
22242,3,5,50,60,9,5,35,25,24,25
23448,8,17,142,172,5,6,92,79,79,63
14314,0,0,7,8,3,2,3,5,5,1
10727,7,5,78,81,8,5,42,39,39,38
18841,3,7,67,66,10,7,34,32,31,35
14277,22,37,316,413,10,8,233,178,178,138
16651,12,17,190,179,8,10,90,89,88,101
10436,5,8,86,85,13,5,43,41,42,44
17515,4,6,64,70,5,4,33,36,36,28
23237,5,7,79,86,7,7,41,44,45,34
12167,9,8,103,122,10,8,64,57,58,45
17726,11,31,230,295,11,7,176,119,119,110
21418,4,6,61,77,7,7,42,35,34,26
19668,2,5,37,57,7,5,35,21,21,16
16969,5,12,107,115,10,11,65,50,50,56
21821,11,31,216,298,7,11,159,139,138,77
22760,10,20,176,200,8,8,112,87,88,88
18366,1,2,25,29,4,3,12,17,16,8
15499,4,7,75,71,5,12,40,30,31,44
18948,11,27,204,272,11,8,148,123,122,81
23384,3,4,54,42,3,7,19,23,22,31
10516,17,34,284,347,8,8,186,159,160,124
18016,19,31,290,330,7,11,183,146,147,143
25582,12,23,195,258,7,5,137,119,121,73
18067,16,21,224,241,12,10,134,106,107,117
